Charge Number,E,Uninformed,Informed,JENDL-5
24,0,5.17E-05,5.01E-05,
25,0,1.55E-04,1.01E-04,
26,0,3.14E-04,2.53E-04,
27,0,2.52E-04,4.32E-04,
28,0,-4.90E-04,1.20E-04,
29,0,-0.00166,-7.18E-04,
30,0,-0.00198,-0.00216,
31,0,-3.98E-04,-0.00128,
32,0,0.00468,0.00404,
33,0,0.01517,0.01566,
34,0,0.03303,0.03585,
35,0,0.05984,0.0594,
36,0,0.15635,0.15135,
37,0,0.12602,0.13156,
38,0,0.19087,0.19153,
39,0,0.11525,0.11903,
40,0,0.17482,0.17448,
41,0,0.07184,0.07002,
42,0,0.03704,0.04588,
43,0,0.00745,0.00357,
44,0,0.01867,-9.37E-04,
45,0,-4.78E-04,-0.00153,
46,0,-3.82E-04,-5.44E-05,
47,0,-0.00372,0.00144,
48,0,-0.00363,0.00107,
49,0,0.00735,0.00255,
50,0,0.03187,0.03434,
51,0,0.06839,0.08156,
52,0,0.15139,0.15492,
53,0,0.11132,0.10982,
54,0,0.19705,0.19657,
55,0,0.12987,0.12509,
56,0,0.15638,0.15616,
57,0,0.06239,0.07508,
58,0,0.02831,0.03256,
59,0,0.01269,0.01257,
60,0,0.00373,0.00308,
61,0,-0.001,-3.94E-04,
62,0,-0.0032,-0.00112,
63,0,-0.00381,-8.85E-04,
64,0,-0.00357,-4.17E-04,
65,0,-0.00269,8.36E-05,
66,0,-0.00156,3.56E-04,
67,0,-6.38E-04,4.66E-04,
68,0,-3.07E-04,9.13E-05,
69,0,-1.75E-04,2.57E-05,
70,0,-1.65E-04,2.06E-05,
71,0,-3.51E-05,4.69E-06,
23,1,8.70E-06,1.14E-05,
24,1,7.09E-05,5.74E-05,
25,1,3.78E-04,1.21E-04,
26,1,0.00133,3.47E-04,
27,1,0.00233,7.35E-04,
28,1,0.00261,5.88E-04,
29,1,0.00218,-2.11E-04,
30,1,0.00232,-0.00157,
31,1,0.00418,-5.43E-04,
32,1,0.0094,0.00499,
33,1,0.01989,0.01669,
34,1,0.03767,0.03667,
35,1,0.06416,0.06106,
36,1,0.1412,0.14848,
37,1,0.12957,0.13164,
38,1,0.19425,0.18499,
39,1,0.11801,0.12408,
40,1,0.17432,0.17009,
41,1,0.07638,0.06818,
42,1,0.04336,0.04572,
43,1,0.01557,0.00555,
44,1,0.0078,0.00123,
45,1,0.00865,6.04E-04,
46,1,0.00839,0.0023,
47,1,0.00533,0.00436,
48,1,0.00415,0.00543,
49,1,0.0137,0.00894,
50,1,0.03784,0.03702,
51,1,0.07373,0.0836,
52,1,0.15158,0.15518,
53,1,0.12553,0.12912,
54,1,0.18756,0.19253,
55,1,0.13145,0.12639,
56,1,0.1499,0.14685,
57,1,0.06512,0.07327,
58,1,0.03326,0.03359,
59,1,0.01762,0.01366,
60,1,0.00858,0.00412,
61,1,0.00375,5.26E-04,
62,1,0.00146,-3.22E-04,
63,1,7.38E-04,-1.87E-04,
64,1,8.70E-04,1.96E-04,
65,1,0.00161,6.39E-04,
66,1,0.00247,8.58E-04,
67,1,0.0024,6.88E-04,
68,1,0.00123,9.60E-05,
69,1,2.38E-04,2.57E-05,
70,1,-1.08E-04,2.04E-05,
71,1,-3.00E-05,4.60E-06,
23,2,8.62E-06,1.38E-05,
24,2,9.29E-05,6.42E-05,
25,2,5.83E-04,1.36E-04,
26,2,0.00198,4.16E-04,
27,2,0.00342,9.57E-04,
28,2,0.00413,9.26E-04,
29,2,0.00409,1.50E-04,
30,2,0.00454,-0.00113,
31,2,0.00664,3.69E-05,
32,2,0.01204,0.00576,
33,2,0.0226,0.01755,
34,2,0.04041,0.03731,
35,2,0.06676,0.0624,
36,2,0.12928,0.1454,
37,2,0.13175,0.13159,
38,2,0.19064,0.17838,
39,2,0.11958,0.12791,
40,2,0.17235,0.16546,
41,2,0.07894,0.06677,
42,2,0.04764,0.04603,
43,2,0.02177,0.00755,
44,2,0.01407,0.00331,
45,2,0.01489,0.00262,
46,2,0.0142,0.00447,
47,2,0.0117,0.00702,
48,2,0.01003,0.00927,
49,2,0.01826,0.01466,
50,2,0.04234,0.03987,
51,2,0.07761,0.08508,
52,2,0.1493,0.15382,
53,2,0.13246,0.14447,
54,2,0.17707,0.18831,
55,2,0.13375,0.12731,
56,2,0.14402,0.13919,
57,2,0.06657,0.07199,
58,2,0.03626,0.03439,
59,2,0.02062,0.01454,
60,2,0.01152,0.00495,
61,2,0.00664,0.00125,
62,2,0.00427,2.99E-04,
63,2,0.00347,3.43E-04,
64,2,0.00351,6.48E-04,
65,2,0.00416,0.00104,
66,2,0.00487,0.00121,
67,2,0.00429,8.45E-04,
68,2,0.00226,1.00E-04,
69,2,5.54E-04,2.58E-05,
70,2,-6.14E-05,2.01E-05,
71,2,-2.65E-05,4.52E-06,
23,3,-2.39E-05,1.64E-05,
24,3,9.38E-06,7.07E-05,
25,3,1.14E-04,1.46E-04,
26,3,7.25E-04,4.65E-04,
27,3,0.00227,0.00111,
28,3,0.00378,0.00116,
29,3,0.00461,3.92E-04,
30,3,0.00478,-8.10E-04,
31,3,0.00544,4.92E-04,
32,3,0.00777,0.00641,
33,3,0.01334,0.01828,
34,3,0.02402,0.03781,
35,3,0.0419,0.06338,
36,3,0.06816,0.14214,
37,3,0.11909,0.1314,
38,3,0.13287,0.17182,
39,3,0.18404,0.1307,
40,3,0.12049,0.16063,
41,3,0.16959,0.0658,
42,3,0.08035,0.04677,
43,3,0.05051,0.0096,
44,3,0.02635,0.00534,
45,3,0.01911,0.00454,
46,3,0.01887,0.00649,
47,3,0.01794,0.00947,
48,3,0.01605,0.01268,
49,3,0.01449,0.01965,
50,3,0.02162,0.04289,
51,3,0.0462,0.08609,
52,3,0.0804,0.15142,
53,3,0.14588,0.1557,
54,3,0.13521,0.18394,
55,3,0.16756,0.12789,
56,3,0.13521,0.13289,
57,3,0.13864,0.07104,
58,3,0.06706,0.035,
59,3,0.03789,0.01524,
60,3,0.02226,0.00561,
61,3,0.01315,0.00183,
62,3,0.00822,7.74E-04,
63,3,0.00581,7.35E-04,
64,3,0.00494,9.69E-04,
65,3,0.00491,0.00131,
66,3,0.00548,0.00145,
67,3,0.0061,9.46E-04,
68,3,0.00532,1.04E-04,
69,3,0.00286,2.58E-05,
70,3,7.65E-04,1.98E-05,
71,3,-2.57E-05,4.42E-06,
23,4,1.05E-05,1.95E-05,
24,4,1.31E-04,7.68E-05,
25,4,7.91E-04,1.52E-04,
26,4,0.00226,4.96E-04,
27,4,0.00365,0.00121,
28,4,0.00446,0.0013,
29,4,0.00476,5.35E-04,
30,4,0.0056,-5.90E-04,
31,4,0.00814,8.47E-04,
32,4,0.01388,0.00694,
33,4,0.02469,0.01891,
34,4,0.04264,0.0382,
35,4,0.06886,0.06398,
36,4,0.11024,0.13874,
37,4,0.13331,0.13105,
38,4,0.17653,0.16541,
39,4,0.12094,0.1326,
40,4,0.16615,0.15565,
41,4,0.0813,0.06528,
42,4,0.0526,0.0479,
43,4,0.03,0.0117,
44,4,0.02279,0.00735,
45,4,0.02148,0.0064,
46,4,0.02042,0.00841,
47,4,0.01917,0.01173,
48,4,0.01815,0.01571,
49,4,0.02441,0.02397,
50,4,0.04984,0.04603,
51,4,0.08261,0.08682,
52,4,0.1419,0.1485,
53,4,0.13636,0.16311,
54,4,0.16004,0.17941,
55,4,0.13558,0.12822,
56,4,0.13342,0.12769,
57,4,0.0669,0.07027,
58,4,0.03866,0.03546,
59,4,0.02307,0.01579,
60,4,0.01395,0.00613,
61,4,0.00899,0.00227,
62,4,0.00654,0.00113,
63,4,0.00562,0.00102,
64,4,0.00553,0.00119,
65,4,0.00603,0.00148,
66,4,0.00659,0.00158,
67,4,0.00575,9.97E-04,
