Mass Number,E,Informed,Uninformed,JENDL-5
66,0,9.34E-04,3.87E-04,
67,0,6.00E-04,1.47E-04,
68,0,3.75E-04,-6.17E-05,
69,0,-2.22E-05,-2.65E-04,
70,0,-2.09E-04,-4.29E-04,
71,0,-4.48E-04,-5.70E-04,
72,0,-6.58E-04,-6.73E-04,
73,0,-6.72E-04,-7.16E-04,
74,0,-7.86E-04,-7.13E-04,
75,0,-7.11E-04,-6.12E-04,
76,0,-6.29E-04,-4.20E-04,
77,0,-3.08E-04,-1.17E-04,
78,0,6.30E-05,3.54E-04,
79,0,7.85E-04,0.00107,
80,0,0.00164,0.00197,
81,0,0.00307,0.00317,
82,0,0.00463,0.00487,
83,0,0.00714,0.00724,
84,0,0.00961,0.00981,
85,0,0.01423,0.01365,
86,0,0.01876,0.0182,
87,0,0.02539,0.02472,
88,0,0.03786,0.03676,
89,0,0.0484,0.04941,
90,0,0.0549,0.05843,
91,0,0.05739,0.06114,
92,0,0.05769,0.05965,
93,0,0.06228,0.06195,
94,0,0.06522,0.0638,
95,0,0.06444,0.06425,
96,0,0.06229,0.05659,
97,0,0.05817,0.05323,
98,0,0.05849,0.05693,
99,0,0.06173,0.06172,
100,0,0.06123,0.05816,
101,0,0.05221,0.05318,
102,0,0.04136,0.05014,
103,0,0.03006,0.04016,
104,0,0.02063,0.02295,
105,0,0.0122,0.01089,
106,0,0.00571,0.00522,
107,0,0.00306,0.00219,
108,0,0.00137,4.00E-04,
109,0,4.59E-04,-4.82E-04,
110,0,2.35E-04,-8.79E-04,
111,0,1.31E-04,-7.43E-04,
112,0,-1.75E-04,-4.64E-04,
113,0,-1.82E-04,-1.06E-04,
114,0,1.86E-04,2.19E-04,
115,0,2.58E-04,4.17E-04,
116,0,2.63E-04,4.62E-04,
117,0,5.31E-04,4.26E-04,
118,0,6.04E-04,2.33E-04,
119,0,5.25E-04,-2.74E-05,
120,0,6.45E-04,-3.53E-04,
121,0,6.25E-04,-7.17E-04,
122,0,3.80E-04,-9.76E-04,
123,0,3.64E-04,-0.00106,
124,0,1.53E-04,-9.40E-04,
125,0,5.08E-05,-5.90E-04,
126,0,1.45E-04,3.15E-04,
127,0,9.74E-04,0.00216,
128,0,0.00301,0.00479,
129,0,0.00768,0.00859,
130,0,0.01599,0.01517,
131,0,0.02717,0.0234,
132,0,0.04447,0.03411,
133,0,0.06373,0.05443,
134,0,0.07951,0.08394,
135,0,0.05764,0.06103,
136,0,0.05501,0.04787,
137,0,0.06046,0.06535,
138,0,0.06574,0.06589,
139,0,0.06205,0.06519,
140,0,0.06348,0.0643,
141,0,0.06534,0.06047,
142,0,0.06051,0.06073,
143,0,0.05893,0.06015,
144,0,0.05302,0.05232,
145,0,0.04103,0.03881,
146,0,0.03062,0.02694,
147,0,0.02138,0.01911,
148,0,0.01514,0.01406,
149,0,0.01129,0.00981,
150,0,0.0079,0.00698,
151,0,0.00481,0.00461,
152,0,0.00363,0.00283,
153,0,0.00168,0.00163,
154,0,6.66E-04,5.82E-04,
155,0,3.38E-04,-9.34E-05,
156,0,-2.36E-04,-5.69E-04,
157,0,-3.91E-04,-9.69E-04,
158,0,-5.12E-04,-0.00118,
159,0,-4.87E-04,-0.00132,
160,0,-4.08E-04,-0.00142,
161,0,-5.23E-04,-0.00142,
162,0,-3.05E-04,-0.00139,
163,0,-1.69E-04,-0.00134,
164,0,-2.80E-04,-0.00125,
165,0,-7.92E-05,-0.00111,
166,0,3.09E-05,-0.00102,
167,0,2.98E-05,-8.33E-04,
168,0,7.44E-05,-7.18E-04,
169,0,2.02E-04,-5.13E-04,
170,0,2.68E-04,-3.13E-04,
171,0,2.39E-04,-9.89E-05,
172,0,2.87E-04,7.93E-05,
66,2,0.00132,0.00211,
67,2,9.82E-04,0.00195,
68,2,7.41E-04,0.0018,
69,2,3.42E-04,0.00167,
70,2,1.58E-04,0.00156,
71,2,-9.93E-05,0.00149,
72,2,-3.00E-04,0.00145,
73,2,-3.08E-04,0.00145,
74,2,-4.19E-04,0.00152,
75,2,-3.13E-04,0.00166,
76,2,-2.03E-04,0.00191,
77,2,1.51E-04,0.00225,
78,2,5.79E-04,0.00277,
79,2,0.00135,0.00343,
80,2,0.00227,0.00442,
81,2,0.00378,0.00568,
82,2,0.00535,0.00735,
83,2,0.00806,0.00978,
84,2,0.01038,0.01248,
85,2,0.01497,0.01621,
86,2,0.01951,0.02097,
87,2,0.0261,0.02651,
88,2,0.03798,0.03541,
89,2,0.04824,0.04667,
90,2,0.05524,0.05523,
91,2,0.05617,0.05619,
92,2,0.05554,0.05701,
93,2,0.05967,0.06169,
94,2,0.06202,0.0645,
95,2,0.06393,0.06547,
96,2,0.06209,0.05939,
97,2,0.05666,0.0553,
98,2,0.05546,0.0596,
99,2,0.05886,0.06405,
100,2,0.05905,0.06126,
101,2,0.05005,0.05563,
102,2,0.0397,0.04364,
