Step, Loss for Uninformed,Loss for Informed,Constrain Loss for Informed,Constrain Loss for Infor+Cons
0,94.98813,80.21821,86.6343,86.6343
3,60.25028,21.35677,71.42565,73.56612
6,57.57365,17.69612,91.16011,63.42796
9,57.05173,17.62349,92.9888,63.78352
12,56.83234,17.60025,97.87834,63.27655
15,57.54452,17.42095,91.85663,63.43623
18,56.65794,17.43356,87.69015,63.68761
21,57.69518,17.46216,95.45487,63.62745
24,56.73061,17.71523,89.10546,63.74321
27,50.91357,17.65157,89.48977,64.27561
30,49.47999,17.82335,85.13567,64.19079
33,47.17203,18.21276,100.86304,63.32434
36,47.53148,17.84811,99.32883,63.50371
39,43.25978,17.48865,88.33245,63.46064
42,42.2211,17.3326,87.79057,63.89889
45,41.99789,17.57847,89.96736,63.5337
48,40.57819,17.72618,93.60492,64.87949
51,38.91905,17.75199,96.26319,63.45259
54,39.7906,17.73893,83.6082,63.51677
57,38.65804,17.28264,90.85503,63.16205
60,38.71976,17.18824,90.73165,63.89542
63,38.59598,17.54045,95.37055,63.5554
66,38.28913,17.78033,91.28585,62.37679
69,38.74203,17.53778,93.79402,62.98298
72,39.14451,17.44549,97.42314,63.66951
75,38.32917,17.4175,98.69801,63.35454
78,38.33988,17.41177,92.8084,64.04465
81,38.26839,17.584,94.60303,64.18372
84,38.46246,17.63885,90.61178,63.82366
87,36.93054,17.18251,92.45856,63.50322
90,35.05973,17.27112,84.63418,63.70644
93,35.70176,17.18789,96.98828,63.22044
96,36.5248,17.34644,93.84234,63.55384
99,37.21348,17.087,92.61694,63.82208
102,36.75145,16.90343,93.90442,64.2204
105,36.24533,17.05494,94.02634,63.07312
108,36.08071,17.04656,96.36375,63.70079
111,34.35803,17.24775,87.01362,63.49551
114,35.16367,17.48586,92.10708,64.1122
117,33.79287,17.23505,85.29286,62.67571
120,34.17812,17.39686,90.51113,63.02562
123,35.43084,17.11218,87.3522,62.84802
126,36.27697,17.02709,84.40468,62.99244
129,35.64834,17.17719,85.02831,63.05245
132,34.38145,17.3454,95.73673,63.72367
135,35.82241,17.19449,87.99427,63.56169
138,34.63458,17.09556,87.94304,63.97664
141,35.06133,16.73092,90.67493,63.23779
144,35.66385,16.8107,87.84386,63.01493
147,35.19113,16.92824,90.24842,63.30207
150,34.50687,16.71641,91.55842,63.16139
