z,a,e,Uninformed_pred,Uninformed_CI5,Uninformed_CI95,Informed_Pred,Informed_CI5,Informed_CI95,Infor+Cons_pred,Infor+Cons_CI5,Infor+Cons_CI95,Experiment,Experiment,GEF,GEF_error
53,122,3,4.14E-06,-0.00284,0.00273,-7.90E-05,-0.00259,0.00208,-1.26E-04,-0.00251,0.00191,,,,
53,123,3,2.73E-05,-0.00269,0.00275,3.43E-05,-0.0019,0.00199,3.78E-05,-0.00175,0.00185,,,,
53,124,3,2.97E-05,-0.00268,0.00274,3.23E-05,-0.00189,0.00198,4.41E-05,-0.00174,0.00185,,,,
53,125,3,3.17E-05,-0.00268,0.00277,2.97E-05,-0.0019,0.00193,4.39E-05,-0.00176,0.00181,,,,
53,126,3,3.43E-05,-0.0027,0.00275,3.89E-05,-0.00188,0.00197,5.23E-05,-0.00175,0.00184,,,,
53,127,3,3.74E-05,-0.00266,0.00274,7.70E-05,-0.00185,0.00201,8.61E-05,-0.00171,0.00188,,,,
53,128,3,4.77E-05,-0.00267,0.00276,1.99E-04,-0.00177,0.00221,2.08E-04,-0.00161,0.00206,,,,
53,129,3,8.04E-05,-0.00262,0.0028,5.27E-04,-0.00158,0.00286,5.94E-04,-0.00135,0.00273,,,,
53,130,3,1.86E-04,-0.00252,0.00291,8.40E-04,-0.00184,0.00376,0.00117,-0.00143,0.00372,,,,
53,131,3,5.48E-04,-0.00218,0.00327,0.00228,-0.00139,0.0061,0.00203,-0.00136,0.00582,,,,
53,132,3,0.00184,-0.00102,0.00468,0.00414,9.55E-04,0.0074,0.0059,0.00216,0.00986,,,,
53,133,3,0.00619,0.00297,0.00948,0.00842,0.00443,0.01198,0.01058,0.00736,0.01369,,,,
53,134,3,0.01741,0.01376,0.02106,0.01979,0.01665,0.02289,0.02125,0.01865,0.02405,0.0208,8.00E-04,,
53,135,3,0.03169,0.02762,0.03671,0.03595,0.03258,0.03912,0.03794,0.03497,0.04067,0.0388,0.0028,,
53,136,3,0.0355,0.03137,0.04098,0.03701,0.03351,0.04018,0.03826,0.03487,0.04142,0.0393,0.0012,,
53,137,3,0.02525,0.02159,0.0289,0.0283,0.02527,0.03125,0.02841,0.02558,0.03157,0.0238,0.0015,,
53,138,3,0.01113,0.00774,0.01451,0.01456,0.01137,0.01888,0.01555,0.01199,0.01907,0.0126,6.00E-04,,
53,139,3,0.00369,7.70E-04,0.00661,0.00376,0.00167,0.00594,0.00407,0.00199,0.00617,0.0047,3.00E-04,,
53,140,3,0.00113,-0.00162,0.00388,8.53E-04,-0.00109,0.0028,8.67E-04,-9.86E-04,0.00269,,,,
53,141,3,3.36E-04,-0.00234,0.00304,8.88E-05,-0.00186,0.00203,6.28E-05,-0.00177,0.00187,,,,
53,142,3,9.31E-05,-0.00256,0.00279,-7.35E-05,-0.002,0.00187,-1.17E-04,-0.00194,0.0017,,,,
53,143,3,1.69E-05,-0.00264,0.00268,-9.86E-05,-0.00202,0.00183,-1.48E-04,-0.00195,0.00166,,,,
53,144,3,-7.82E-06,-0.00271,0.00268,-1.01E-04,-0.00204,0.00182,-1.52E-04,-0.00196,0.00166,,,,
53,145,3,-1.64E-05,-0.00268,0.00265,-1.00E-04,-0.00204,0.00186,-1.52E-04,-0.00196,0.00168,,,,
53,146,3,-1.93E-05,-0.00269,0.00267,-9.97E-05,-0.00202,0.00181,-1.52E-04,-0.00195,0.00165,,,,
53,147,3,-1.97E-05,-0.00273,0.00264,-9.72E-05,-0.00201,0.00185,-1.51E-04,-0.00195,0.00167,,,,
53,148,3,-1.70E-05,-0.0027,0.00267,-5.75E-05,-0.002,0.00187,-1.13E-04,-0.00194,0.00169,,,,
53,122,8,2.62E-05,-6.12E-04,6.31E-04,-7.36E-05,-0.00325,0.00249,-2.32E-04,-0.00609,0.00222,,,,
53,123,8,3.44E-05,-4.68E-04,5.88E-04,5.56E-05,-0.00192,0.00202,5.35E-05,-0.00177,0.0019,,,,
53,124,8,3.42E-05,-4.21E-04,5.38E-04,3.45E-05,-0.00192,0.00198,5.51E-05,-0.00173,0.00185,,,,
53,125,8,3.52E-05,-4.16E-04,5.39E-04,2.25E-05,-0.00192,0.00195,4.30E-05,-0.00172,0.0018,,,0,0
53,126,8,3.86E-05,-4.10E-04,5.32E-04,2.14E-05,-0.0019,0.00196,4.50E-05,-0.00171,0.00179,,,0,0
53,127,8,4.82E-05,-3.97E-04,5.47E-04,3.45E-05,-0.00189,0.00197,7.30E-05,-0.00167,0.00181,,,3.00E-06,3.00E-06
53,128,8,7.33E-05,-3.76E-04,5.58E-04,9.15E-05,-0.00187,0.00206,1.85E-04,-0.00162,0.00198,,,2.00E-05,2.00E-05
53,129,8,1.45E-04,-3.11E-04,6.23E-04,2.96E-04,-0.00174,0.00247,5.56E-04,-0.00136,0.00261,,,6.50E-05,4.73E-05
53,130,8,3.63E-04,-1.46E-04,8.76E-04,5.80E-04,-0.00192,0.00327,0.00127,-0.00182,0.00554,,,2.27E-04,7.40E-05
53,131,8,0.00108,2.88E-04,0.00188,0.00365,-0.00159,0.00973,0.0045,2.15E-04,0.009,,,4.58E-04,1.16E-04
53,132,8,0.00344,0.00186,0.00498,0.00766,0.00364,0.01196,0.01025,0.00588,0.01404,,,0.00111,2.00E-04
53,133,8,0.01041,0.00787,0.01301,0.01539,0.01148,0.01933,0.01795,0.0133,0.02198,,,0.00463,5.13E-04
53,134,8,0.02392,0.02071,0.02698,0.03152,0.02791,0.03492,0.03205,0.0293,0.03468,,,0.01387,0.00112
53,135,8,0.03055,-1.41E-04,0.0436,0.04006,0.0362,0.0438,0.04039,0.0376,0.04276,,,0.03375,0.00188
53,136,8,0.03254,0.02981,0.03559,0.03412,0.03094,0.03803,0.03392,0.0315,0.03657,,,0.03395,8.44E-04
53,137,8,0.01917,0.01631,0.02181,0.02248,0.01925,0.02591,0.02241,0.01942,0.02504,,,0.02497,0.00139
