mass_number,independent_mass_yield_percent,aggregated_uncertainty_percent,source_record_count
64,0,0,3
65,0,0,2
66,0,0,3
67,0,0,2
68,0,0,5
69,0,0,4
70,0,0,7
71,0,0,4
72,0.0005,0.000331662479036,5
73,0.0005,0.00025495097568,6
74,0.0007,0.000514781507049,5
75,0.0027,0.00167630546142,5
76,0.01,0.00519535022881,5
77,0.0172,0.00724696295632,7
78,0.036,0.0110647726402,6
79,0.0671,0.0167517542228,8
80,0.1304,0.0249479817536,5
81,0.2025,0.0301289640024,8
82,0.337904,0.0532747825645,8
83,0.604701,0.0640240300825,8
84,1.0485996,0.130633519681,8
85,1.4982005,0.147284739382,7
86,1.973,0.160058698945,8
87,2.5676,0.22121479802,7
88,3.7199,0.313185065718,6
89,4.4767,0.252690142437,8
90,5.0953,0.281042054198,8
91,5.3295,0.417545917623,8
92,6.0758,0.395513076553,7
93,6.2812,0.333399692566,7
94,6.939599997,0.291155682028,8
95,6.3332,0.434092350508,9
96,6.037894,0.409689794138,9
97,5.89148383,0.358183766098,10
98,6.23341,0.338439656117,9
99,6.093,0.297496962632,9
100,6.231,0.333580424894,9
101,5.4233,0.348572237832,7
102,4.4514239,0.308841719453,10
103,3.1264,0.221161650801,7
104,1.975403,0.142892549038,9
105,0.9952,0.119724526987,8
106,0.4465,0.0650144447695,8
107,0.1743,0.0328630744064,8
108,0.0676,0.0152978838228,8
109,0.0262,0.0086873895262,7
110,0.0141,0.00572858023859,9
111,0.0125,0.00439031228502,9
112,0.01230001,0.00562929351536,8
113,0.0123,0.00455183523978,11
114,0.013399985,0.00683650167018,8
115,0.01419999,0.00547815159959,11
116,0.01329998,0.00655842472644,11
117,0.0116,0.00424529165311,12
118,0.0131,0.00549789044333,10
119,0.01159998,0.00328593528885,12
120,0.0121,0.00538860965151,11
121,0.00929997,0.00397109886139,10
122,0.009,0.0047555670787,11
123,0.00940006,0.00411329163669,11
124,0.0108,0.00500794199647,10
125,0.02509997,0.00614035877535,11
126,0.06400029,0.014009769797,10
127,0.1676997,0.0228102502159,10
128,0.444401,0.0376603401274,11
129,0.959402,0.0650981466069,13
130,1.9247,0.0970188957541,14
131,3.02270244,0.159132744694,13
132,4.43104,0.245808193213,10
133,6.1635,0.275817482711,13
134,7.5104,0.313267206732,11
135,6.8242,0.326451462905,10
136,6.4789,0.310582438174,10
137,6.4526,0.299738370085,8
138,6.448003,0.375819205316,8
139,6.1619,0.302040338765,8
140,6.4043,0.268829117182,7
141,5.746,0.384217800526,8
142,5.8791,0.36612351807,8
143,5.2368,0.285367471254,7
144,5.073502,0.26596569814,9
145,3.9442,0.358083209625,7
146,3.0107,0.240775283669,8
147,2.2606,0.171331567722,6
148,1.7880001,0.135176019922,9
149,1.2684,0.117010062174,7
150,0.8876,0.0932627381487,7
151,0.5234,0.07113191855,6
152,0.3277,0.043755464247,8
153,0.1971,0.0315888333048,7
154,0.1212,0.0262131326867,8
155,0.0718,0.016748768858,5
156,0.0384,0.0124838551373,5
157,0.0224,0.00724577278211,5
158,0.0124,0.00576264804582,5
159,0.0039,0.00265894716006,5
160,0.0012,0.000894427191,4
161,0.0006,0.000424264068712,4
162,0.0007,0.0005,4
163,0.0001,0.0001,3
164,0,0,4
165,0,0,4
166,0,0,2
167,0,0,2
168,0,0,2
169,0,0,2
